Node,Layer,Core Domain
Polythiophene,Main Concept,Natural Sciences
Educator Training and Historical Pedagogy,Core Thematic Domain,Social Sciences
Technology development,Main Concept,Natural Sciences
Renaissance literature,Main Concept,Social Sciences & Humanities
Reimbursement,Main Concept,Health & Medical Sciences
Example of a game without a value,Main Concept,Engineering & Technology
Cystic kidney disease,Main Concept,Health & Medical Sciences
Gallbladder Stone,Main Concept,Health & Medical Sciences
Ultracentrifuge,Main Concept,Health & Medical Sciences
Forensic psychology,Main Concept,Social Sciences
Global Socioeconomic and Political Dynamics,Core Thematic Domain,Social Sciences & Humanities
Mobile station,Main Concept,Formal Sciences
Tunable laser,Main Concept,Natural Sciences
Knee cartilage,Main Concept,Health & Medical Sciences
Browning,Main Concept,Life Sciences
Computation tree logic,Main Concept,Formal Sciences
Patience,Main Concept,Social Sciences & Humanities
New guinea,Main Concept,Life Sciences
Marine Sponges and Natural Products,Core Thematic Domain,Life Sciences
Ganglion,Main Concept,Health & Medical Sciences
Jurisprudence,Main Concept,Social Sciences & Humanities
Overlay network,Main Concept,Formal Sciences
Relay,Main Concept,Formal Sciences
Lipschitz continuity,Main Concept,Formal Sciences
Snowpack,Main Concept,Natural Sciences
Genetic drift,Main Concept,Life Sciences
High-Temperature Coating Behaviors,Core Thematic Domain,Engineering & Technology
Insula,Main Concept,Social Sciences & Humanities
Process calculus,Main Concept,Formal Sciences
Requirements elicitation,Main Concept,Social Sciences & Humanities
DNA microarray,Main Concept,Life Sciences
Tetramethylammonium hydroxide,Main Concept,Natural Sciences
Voltammetry,Main Concept,Natural Sciences
Methane,Main Concept,Life Sciences
Alginic acid,Main Concept,Life Sciences
International Law and Human Rights,Core Thematic Domain,Social Sciences
Agricultural Productivity and Crop Improvement,Core Thematic Domain,Life Sciences
Advanced Drug Delivery Systems,Core Thematic Domain,Health & Medical Sciences
Bromobenzene,Main Concept,Life Sciences
Social worlds,Main Concept,Formal Sciences
Dispersant,Main Concept,Engineering & Technology
Down syndrome and intellectual disability research,Core Thematic Domain,Health & Medical Sciences
Advanced ceramic materials synthesis,Core Thematic Domain,Engineering & Technology
Radiofrequency ablation,Main Concept,Health & Medical Sciences
Oxygen-evolving complex,Main Concept,Natural Sciences
Causal analysis,Main Concept,Social Sciences & Humanities
Oryza,Main Concept,Life Sciences
Euryarchaeota,Main Concept,Natural Sciences
Public management,Main Concept,Social Sciences
Developmental and Educational Neuropsychology,Core Thematic Domain,Social Sciences & Humanities
Myopathy,Main Concept,Health & Medical Sciences
"Globalization, Historical Perspectives, and International Relations",Core Thematic Domain,Social Sciences
Azide,Main Concept,Health & Medical Sciences
Wishart distribution,Main Concept,Formal Sciences
Practice management,Main Concept,Social Sciences
Behavioral Neuroscience,Academic Subdiscipline,Life Sciences
Induction therapy,Main Concept,Health & Medical Sciences
Stock (firearms),Main Concept,Social Sciences & Humanities
Tau pathology,Main Concept,Health & Medical Sciences
Micromixing,Main Concept,Engineering & Technology
Uveitis,Main Concept,Health & Medical Sciences
Vagal tone,Main Concept,Engineering & Technology
Erythema,Main Concept,Health & Medical Sciences
Corporate bond,Main Concept,Social Sciences & Humanities
Asphaltene,Main Concept,Natural Sciences
Estrogen and related hormone effects,Core Thematic Domain,Health & Medical Sciences
Intermediate frequency,Main Concept,Engineering & Technology
Agricultural waste,Main Concept,Life Sciences
Moyamoya disease,Main Concept,Health & Medical Sciences
Astrophysical plasma,Main Concept,Social Sciences & Humanities
Harm,Main Concept,Formal Sciences
Prenatal diagnosis,Main Concept,Health & Medical Sciences
Digital rights,Main Concept,Social Sciences
Health Administration Informatics,Main Concept,Formal Sciences
Legume,Main Concept,Life Sciences
Ileum,Main Concept,Health & Medical Sciences
"Pediatrics, Perinatology and Child Health",Academic Subdiscipline,Health & Medical Sciences
Trifoliate orange,Main Concept,Life Sciences
Flow velocity,Main Concept,Engineering & Technology
Software Testing and Debugging Techniques,Core Thematic Domain,Formal Sciences
Cauchy boundary condition,Main Concept,Engineering & Technology
Linguistics and language evolution,Core Thematic Domain,Social Sciences & Humanities
Spectral resolution,Main Concept,Formal Sciences
Ingenuity,Main Concept,Formal Sciences
Framing effect,Main Concept,Social Sciences & Humanities
Drug toxicity,Main Concept,Health & Medical Sciences
Deconvolution,Main Concept,Life Sciences
Object detection,Main Concept,Formal Sciences
Bunker,Main Concept,Natural Sciences
Medical journal,Main Concept,Health & Medical Sciences
Virtual observatory,Main Concept,Formal Sciences
Optical Network Technologies,Core Thematic Domain,Engineering & Technology
Ascomycota,Main Concept,Life Sciences
Adaptive mesh refinement,Main Concept,Engineering & Technology
Moral reasoning,Main Concept,Social Sciences & Humanities
Mepolizumab,Main Concept,Health & Medical Sciences
Hyperhidrosis,Main Concept,Health & Medical Sciences
Circular ensemble,Main Concept,Formal Sciences
Radiometric calibration,Main Concept,Natural Sciences
Pneumocystis jirovecii pneumonia detection and treatment,Core Thematic Domain,Health & Medical Sciences
State (computer science),Main Concept,Social Sciences & Humanities
Web application security,Main Concept,Formal Sciences
Argo,Main Concept,Natural Sciences
Return on assets,Main Concept,Social Sciences
Scientific Measurement and Uncertainty Evaluation,Core Thematic Domain,Social Sciences & Humanities
Film capacitor,Main Concept,Engineering & Technology
Carbonate minerals,Main Concept,Natural Sciences
Diagnosis code,Main Concept,Formal Sciences
Racial and Ethnic Identity Research,Core Thematic Domain,Social Sciences
Information Systems and Management,Academic Subdiscipline,Social Sciences & Humanities
Computer-aided diagnosis,Main Concept,Formal Sciences
Western corn rootworm,Main Concept,Life Sciences
Prolactin,Main Concept,Life Sciences
Optical illusion,Main Concept,Formal Sciences
Albite,Main Concept,Engineering & Technology
Sexual characteristics,Main Concept,Health & Medical Sciences
Mepivacaine,Main Concept,Health & Medical Sciences
Oath,Main Concept,Social Sciences & Humanities
Capillary number,Main Concept,Engineering & Technology
Background subtraction,Main Concept,Natural Sciences
Financial inclusion,Main Concept,Social Sciences & Humanities
Non-communicable disease,Main Concept,Health & Medical Sciences
Planck mass,Main Concept,Natural Sciences
Infinitesimal,Main Concept,Engineering & Technology
Dynamic similarity,Main Concept,Engineering & Technology
Regional planning,Main Concept,Social Sciences
Zenith,Main Concept,Natural Sciences
Flame speed,Main Concept,Engineering & Technology
Quantum field theory,Main Concept,Formal Sciences
Offshore Engineering and Technologies,Core Thematic Domain,Engineering & Technology
Revised Trauma Score,Main Concept,Health & Medical Sciences
Ethnic conflict,Main Concept,Social Sciences
Rabies epidemiology and control,Core Thematic Domain,Life Sciences
Demand curve,Main Concept,Social Sciences
Hexavalent chromium,Main Concept,Natural Sciences
Precession,Main Concept,Social Sciences & Humanities
Blood properties and coagulation,Core Thematic Domain,Health & Medical Sciences
RNA extraction,Main Concept,Life Sciences
Artemisia,Main Concept,Life Sciences
Chemical force microscopy,Main Concept,Engineering & Technology
Respiration,Main Concept,Life Sciences
Masseter muscle,Main Concept,Health & Medical Sciences
Firefly protocol,Main Concept,Formal Sciences
Gender Studies in Language,Core Thematic Domain,Social Sciences
"Conservation, Biodiversity, and Resource Management",Core Thematic Domain,Natural Sciences
Cardiac action potential,Main Concept,Health & Medical Sciences
Instructional leadership,Main Concept,Formal Sciences
Fluid mechanics,Main Concept,Engineering & Technology
Saliva,Main Concept,Health & Medical Sciences
Nucleophile,Main Concept,Engineering & Technology
Multi-mode optical fiber,Main Concept,Natural Sciences
Stable angina,Main Concept,Health & Medical Sciences
Regression testing,Main Concept,Formal Sciences
Plasmonic solar cell,Main Concept,Engineering & Technology
Coelenterata,Main Concept,Natural Sciences
Market Dynamics and Volatility,Core Thematic Domain,Social Sciences & Humanities
Comparator,Main Concept,Engineering & Technology
Open research,Main Concept,Formal Sciences
Scalar curvature,Main Concept,Formal Sciences
Gait,Main Concept,Health & Medical Sciences
Life world,Main Concept,Social Sciences & Humanities
Drug-Induced Hepatotoxicity and Protection,Core Thematic Domain,Health & Medical Sciences
Signature (topology),Main Concept,Formal Sciences
Parvovirus B19 Infection Studies,Core Thematic Domain,Health & Medical Sciences
Bézier curve,Main Concept,Engineering & Technology
Masking (illustration),Main Concept,Formal Sciences
Direction of arrival,Main Concept,Formal Sciences
Military Defense Systems Analysis,Core Thematic Domain,Engineering & Technology
Shiga toxin,Main Concept,Life Sciences
Cannabidiol,Main Concept,Life Sciences
Attrition,Main Concept,Health & Medical Sciences
Business intelligence,Main Concept,Social Sciences & Humanities
Bone pain,Main Concept,Health & Medical Sciences
Aeroelasticity,Main Concept,Natural Sciences
First light,Main Concept,Natural Sciences
Negation,Main Concept,Formal Sciences
Mathematical Control Systems and Analysis,Core Thematic Domain,Formal Sciences
Parvalbumin,Main Concept,Life Sciences
Profile of mood states,Main Concept,Social Sciences & Humanities
Dithiothreitol,Main Concept,Health & Medical Sciences
Nephrotoxicity and Medicinal Plants,Core Thematic Domain,Health & Medical Sciences
Steady state (chemistry),Main Concept,Formal Sciences
Mitochondrial permeability transition pore,Main Concept,Health & Medical Sciences
Granulometry,Main Concept,Natural Sciences
German Social Sciences and History,Core Thematic Domain,Social Sciences
Cost of funds index,Main Concept,Social Sciences & Humanities
Ripeness,Main Concept,Life Sciences
ChIP-sequencing,Main Concept,Life Sciences
Enterocutaneous fistula,Main Concept,Health & Medical Sciences
Educational Leadership and Administration,Core Thematic Domain,Social Sciences
Online search,Main Concept,Natural Sciences
Amniotic stem cells,Main Concept,Health & Medical Sciences
Meropenem,Main Concept,Life Sciences
Chest radiograph,Main Concept,Health & Medical Sciences
Opposition (politics),Main Concept,Life Sciences
Drug compliance,Main Concept,Health & Medical Sciences
Masked Hypertension,Main Concept,Health & Medical Sciences
Microbial fuel cell,Main Concept,Natural Sciences
Ferroelectric ceramics,Main Concept,Engineering & Technology
Microstrip antenna,Main Concept,Engineering & Technology
Rigidity (electromagnetism),Main Concept,Engineering & Technology
Administrative services organization,Main Concept,Social Sciences & Humanities
Indoor Air Quality and Microbial Exposure,Core Thematic Domain,Natural Sciences
Tripod (photography),Main Concept,Formal Sciences
Active filter,Main Concept,Engineering & Technology
Prime factor,Main Concept,Formal Sciences
Mitochondrial biogenesis,Main Concept,Health & Medical Sciences
Euthyroid,Main Concept,Health & Medical Sciences
Camptothecin,Main Concept,Health & Medical Sciences
Inelastic collision,Main Concept,Formal Sciences
Irony,Main Concept,Social Sciences & Humanities
Alcoholic liver disease,Main Concept,Health & Medical Sciences
Neutral plane,Main Concept,Engineering & Technology
Quartz crystal microbalance,Main Concept,Engineering & Technology
Mathematical and Computational Methods,Core Thematic Domain,Formal Sciences
Polycarbonate,Main Concept,Engineering & Technology
Design-based research,Main Concept,Formal Sciences
Cambodian History and Society,Core Thematic Domain,Social Sciences
DNA and Nucleic Acid Chemistry,Core Thematic Domain,Life Sciences
Reflection coefficient,Main Concept,Formal Sciences
Human papilloma virus,Main Concept,Health & Medical Sciences
"Banking stability, regulation, efficiency",Core Thematic Domain,Social Sciences & Humanities
Mucocutaneous zone,Main Concept,Health & Medical Sciences
El Niño,Main Concept,Health & Medical Sciences
D-Tubocurarine,Main Concept,Life Sciences
Spiking neural network,Main Concept,Engineering & Technology
Disease resistant,Main Concept,Life Sciences
Pedestrian,Main Concept,Formal Sciences
Alcohol use disorder,Main Concept,Health & Medical Sciences
Emotional regulation,Main Concept,Social Sciences & Humanities
United Nations Framework Convention on Climate Change,Main Concept,Natural Sciences
Arithmetic zeta function,Main Concept,Formal Sciences
Internal fixation,Main Concept,Health & Medical Sciences
Tumor necrosis factor receptor,Main Concept,Life Sciences
Bayesian probability,Main Concept,Formal Sciences
Dike,Main Concept,Social Sciences
Principal stress,Main Concept,Engineering & Technology
Digital Media and Philosophy,Core Thematic Domain,Formal Sciences
Socioeconomic and Demographic Analysis,Core Thematic Domain,Natural Sciences
Copper oxide,Main Concept,Life Sciences
Inheritance (genetic algorithm),Main Concept,Formal Sciences
Historical Studies of Medieval Iberia,Core Thematic Domain,Social Sciences & Humanities
Shapley value,Main Concept,Formal Sciences
Coordinate system,Main Concept,Health & Medical Sciences
Abcg2,Main Concept,Life Sciences
Remedial education,Main Concept,Social Sciences
Systems analysis,Main Concept,Social Sciences
High-Voltage Power Transmission Systems,Core Thematic Domain,Engineering & Technology
Rural poverty,Main Concept,Life Sciences
Axion,Main Concept,Natural Sciences
ORFS,Main Concept,Health & Medical Sciences
Unification,Main Concept,Social Sciences & Humanities
Slum,Main Concept,Social Sciences
Brauer's theorem on induced characters,Main Concept,Formal Sciences
Social insurance,Main Concept,Social Sciences
Score test,Main Concept,Social Sciences & Humanities
Leukoencephalopathy,Main Concept,Health & Medical Sciences
Spermatozoon,Main Concept,Health & Medical Sciences
Accuracy and precision,Main Concept,Formal Sciences
pH meter,Main Concept,Health & Medical Sciences
Resistant starch,Main Concept,Life Sciences
Relative deprivation,Main Concept,Social Sciences
Vehicle Routing Optimization Methods,Core Thematic Domain,Natural Sciences
Inviscid flow,Main Concept,Formal Sciences
Technetium Tc 99m Sestamibi,Main Concept,Health & Medical Sciences
Phase-shift keying,Main Concept,Formal Sciences
Euler angles,Main Concept,Health & Medical Sciences
Continental philosophy,Main Concept,Social Sciences & Humanities
Self-perception theory,Main Concept,Social Sciences & Humanities
Epitaxy,Main Concept,Engineering & Technology
Constitutional economics,Main Concept,Social Sciences
Digital terrestrial television,Main Concept,Engineering & Technology
Public funding,Main Concept,Social Sciences
Seafloor spreading,Main Concept,Social Sciences & Humanities
Geodesic,Main Concept,Formal Sciences
Flavonols,Main Concept,Life Sciences
Filter design,Main Concept,Formal Sciences
Geography and Environmental Studies,Core Thematic Domain,Natural Sciences
Silicon and Solar Cell Technologies,Core Thematic Domain,Engineering & Technology
Hamartoma,Main Concept,Health & Medical Sciences
Endoribonuclease,Main Concept,Life Sciences
Microfinance,Main Concept,Social Sciences
Brainstorming,Main Concept,Formal Sciences
Feminist theology,Main Concept,Social Sciences
Organization studies,Main Concept,Formal Sciences
Waist–hip ratio,Main Concept,Health & Medical Sciences
Infinitesimal strain theory,Main Concept,Engineering & Technology
Wireless transmission,Main Concept,Engineering & Technology
Tissue remodeling,Main Concept,Health & Medical Sciences
Reservoir engineering,Main Concept,Engineering & Technology
Tardigrade,Main Concept,Life Sciences
Blood loss,Main Concept,Health & Medical Sciences
Sociology and Cultural Identity Studies,Core Thematic Domain,Social Sciences
Modeling and Simulation,Academic Subdiscipline,Formal Sciences
Data Transformation Services,Main Concept,Formal Sciences
Trade diversion,Main Concept,Social Sciences
Electromagnetic shielding,Main Concept,Formal Sciences
Low-noise amplifier,Main Concept,Engineering & Technology
Music education,Main Concept,Social Sciences & Humanities
Harmonic oscillator,Main Concept,Natural Sciences
Nephrostomy,Main Concept,Health & Medical Sciences
Bacterial spore,Main Concept,Life Sciences
Maximum entropy thermodynamics,Main Concept,Life Sciences
Thoracostomy,Main Concept,Health & Medical Sciences
Natural fiber,Main Concept,Life Sciences
Systemic scleroderma,Main Concept,Health & Medical Sciences
Error-driven learning,Main Concept,Formal Sciences
Matrix function,Main Concept,Engineering & Technology
Phenocopy,Main Concept,Health & Medical Sciences
Thermal properties of materials,Core Thematic Domain,Engineering & Technology
Face Recognition and Perception,Core Thematic Domain,Life Sciences
Coolant,Main Concept,Engineering & Technology
Reductive elimination,Main Concept,Natural Sciences
Sterane,Main Concept,Natural Sciences
